演出id,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,"人物立绘动效(int, 1抖动 2镜像)",对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string)
1,1001,back1,奈亚拉,0,0,0,0,0,1002,0,0
1,1002,0,优格,3,0,0,0,0,1003,0,0
1,1003,0,纱布,1,0,0,0,0,1004,0,0
1,1004,0,0,0,0,0,奈亚拉,喔喔喔，看看谁来了。,1005,0,0
1,1005,0,0,0,0,0,纱布,一个新来的倒霉蛋！,1006,0,0
1,1006,0,0,0,0,1,优格,你们两个能正经一点吗？,2001,0,0
1,2001,0,0,0,0,0,0,这是哪里？,1007,0,0
1,2002,0,0,0,0,0,0,你们是谁？,1011,0,0
1,3001,0,0,0,0,0,0,0,-1,0,0
1,1007,0,0,0,优格,0,0,0,1008,0,0
1,1008,0,0,0,纱布,0,奈亚拉,好吧好吧，就不逗你了。,1009,0,0
1,1009,0,0,0,0,0,奈亚拉,我相信你也能感觉到你身上发生了什么,1010,0,0
1,1010,0,0,0,0,0,奈亚拉,欢迎来到“安全屋”,1017,0,0
1,1011,0,0,0,奈亚拉,0,0,0,1012,0,0
1,1012,0,0,0,纱布,0,0,0,1013,0,0
1,1013,0,优格,1,0,0,优格,我们和你一样，是对异常空间的调查员。,1014,0,0
1,1014,0,0,0,0,0,优格,但是我们都是古神的信仰者。,1015,0,0
1,1015,0,0,0,0,0,优格,从某种意义上来说，我们和你遇到的东西一样。,1016,0,0
1,1016,0,0,0,0,0,优格,唯一不同的是，我们信仰的那位和威胁人类生存的东西关系不好。,1017,0,0
1,1017,0,0,0,优格,0,0,0,1018,0,0
1,1018,0,0,0,纱布,0,0,0,1019,0,0
1,1019,back2,0,0,0,0,奈亚拉,好了，这里虽然叫做安全屋，但是你现在依旧处于危险中。,1020,0,0
1,1020,0,0,0,0,0,奈亚拉,你在上次调查的公寓内受到了严重的污染。,1021,0,0
1,1021,0,0,0,0,0,奈亚拉,需要借助我们信仰的那位来反向抵消精神污染。,1022,0,0
1,1022,0,0,0,0,0,奈亚拉,你可以理解为“化疗”。,-1,0,0
